R,G,B
85,76,103
90,81,108
86,81,104
82,77,100
81,76,99
78,74,99
91,88,115
84,84,110
76,76,104
80,80,108
93,92,123
90,89,121
71,70,104
57,56,90
55,54,88
52,51,83
55,54,85
62,61,92
70,70,98
80,80,106
82,82,108
75,72,99
56,49,82
64,54,89
77,67,104
83,75,112
81,75,113
85,79,117
92,88,125
94,90,127
75,71,106
76,72,107
79,73,107
80,73,106
81,72,103
82,71,101
85,72,100
85,75,102
94,85,114
100,91,122
100,91,122
97,88,119
103,94,125
111,102,133
102,95,128
85,78,111
71,64,98
71,64,98
73,65,102
78,70,107
76,68,107
68,60,99
66,58,97
74,66,103
70,62,99
67,60,94
71,64,95
75,69,97
71,67,90
70,67,86
68,65,82
60,59,75
53,55,70
54,56,71
57,58,76
62,64,85
67,69,94
69,70,98
70,71,102
70,69,101
68,63,93
67,60,91
69,62,93
76,67,96
78,69,98
78,68,95
81,68,94
86,72,98
89,73,99
97,79,103
96,76,101
98,76,99
107,83,105
111,86,108
107,82,104
104,79,101
110,84,109
84,75,102
90,81,108
83,75,99
78,73,96
80,75,98
79,75,98
81,79,103
77,77,103
72,72,100
75,74,105
84,83,115
81,80,112
68,67,101
60,59,93
55,54,88
52,51,85
55,54,86
60,59,90
67,67,95
78,78,104
83,83,107
78,75,102
66,59,92
72,62,97
81,73,110
86,78,115
82,76,114
85,79,117
90,86,123
91,87,124
78,74,109
79,75,108
81,76,108
83,76,107
84,75,104
83,73,100
82,69,95
80,67,95
90,79,109
93,84,115
95,86,117
98,89,120
107,98,129
113,104,135
105,98,131
93,86,119
81,74,108
76,69,103
72,64,101
76,68,105
80,72,111
70,62,101
64,56,95
72,64,103
81,73,110
77,71,105
80,75,107
79,75,102
71,67,90
68,65,86
66,65,83
61,60,76
61,63,78
59,60,78
60,61,81
66,67,88
68,68,94
66,67,97
65,66,97
67,66,100
58,55,86
56,51,81
60,55,85
72,65,96
78,69,98
75,64,94
72,59,87
74,58,84
87,69,93
99,79,104
103,81,104
102,78,100
109,84,105
114,86,108
111,83,105
110,82,104
111,83,106
86,76,103
91,81,108
80,70,95
76,68,92
82,74,98
79,73,99
77,74,101
78,78,104
75,75,103
74,73,104
76,75,107
72,71,105
66,64,101
67,65,102
62,60,97
58,57,91
59,58,90
59,58,89
61,61,89
70,70,96
76,76,100
74,72,96
72,65,98
75,65,100
80,72,109
84,76,113
79,73,111
80,74,112
84,80,117
82,78,115
82,78,113
80,74,110
78,71,105
80,71,102
82,71,101
83,73,100
83,70,96
80,67,95
86,75,105
86,75,105
88,77,107
95,84,114
101,92,123
105,96,127
103,93,127
100,90,124
97,90,124
91,84,118
82,74,111
83,75,112
86,78,117
73,65,104
65,59,97
76,70,108
86,80,118
79,75,110
79,75,108
78,75,104
73,71,95
72,70,91
72,71,89
66,65,81
70,69,85
65,64,82
65,63,84
69,67,91
70,67,96
67,63,96
65,61,96
67,63,98
52,48,81
51,48,79
59,54,86
72,65,98
76,67,98
69,58,88
66,53,81
70,54,81
85,67,93
101,81,106
107,85,108
104,80,102
109,81,103
113,84,104
111,82,102
110,81,101
110,80,104
86,77,106
90,81,110
77,68,97
74,65,94
81,72,101
79,73,101
80,76,101
85,83,107
84,81,108
79,76,105
76,73,104
71,67,100
70,66,99
76,72,107
70,66,101
66,62,97
65,61,94
59,58,89
55,55,83
62,62,90
69,69,95
68,65,94
69,62,95
70,60,95
74,66,103
77,69,106
73,67,103
76,70,106
78,74,109
76,72,107
84,80,115
77,71,105
69,63,97
68,61,94
74,65,96
79,70,99
80,71,98
79,70,99
83,74,103
76,69,100
76,69,100
84,77,108
91,84,115
93,86,119
95,88,121
99,92,126
109,102,136
104,98,132
93,87,123
92,84,121
91,83,122
75,67,106
67,61,99
81,75,113
84,80,115
75,71,104
73,70,101
75,72,101
77,75,99
81,78,99
81,78,97
73,70,89
74,71,90
68,65,84
67,63,86
70,66,91
71,66,96
67,61,95
66,60,96
68,62,98
59,55,88
62,59,90
71,68,99
83,78,108
81,76,106
72,66,94
72,63,90
81,68,94
81,67,92
101,83,107
108,89,111
105,81,103
107,79,101
109,80,102
109,77,98
109,77,100
111,78,105
94,87,121
93,86,120
83,76,110
76,69,103
77,70,104
81,74,107
84,75,102
84,76,99
73,65,89
83,74,101
84,75,102
75,66,95
79,72,103
75,68,99
75,70,102
74,69,101
72,66,100
71,65,99
70,64,98
69,65,98
70,66,99
71,65,99
73,66,100
67,57,92
63,56,90
70,63,97
76,69,103
77,69,106
75,69,105
76,70,104
76,70,104
73,67,101
67,61,95
68,62,96
73,68,100
70,65,97
71,66,98
79,76,107
81,78,109
72,69,100
67,64,95
77,74,105
88,85,116
86,82,115
86,82,115
98,94,129
101,97,132
94,88,124
90,84,122
94,88,126
97,91,129
95,89,127
89,82,123
84,78,116
86,80,114
85,80,112
81,76,106
77,71,99
79,73,99
84,79,102
82,77,99
75,70,92
73,68,90
67,62,85
67,58,85
71,62,91
74,65,96
73,63,97
73,63,98
74,67,101
71,66,98
71,68,97
74,71,100
76,76,104
79,79,107
78,78,104
76,74,98
73,69,92
86,78,101
91,79,101
94,76,100
100,78,101
112,84,109
113,81,105
106,72,97
105,69,97
112,77,107
89,83,119
92,86,122
88,82,118
82,76,112
80,72,111
