R,G,B
153,119,109
151,117,107
151,117,107
151,117,107
151,117,107
151,117,107
152,118,108
153,119,109
154,120,108
153,120,103
151,118,99
149,116,97
150,117,100
153,120,103
155,122,105
156,123,108
156,123,108
152,118,106
152,118,106
151,117,107
152,118,108
153,119,110
154,120,111
156,122,113
157,123,114
155,121,111
155,121,111
155,121,111
155,121,111
156,122,112
157,123,113
158,124,114
159,125,115
155,121,111
157,123,113
158,124,114
160,126,116
159,125,115
158,124,114
156,122,112
155,121,111
157,123,111
157,123,111
157,123,111
157,123,111
157,123,111
157,123,111
157,123,113
157,123,113
155,121,111
156,122,112
157,123,113
156,122,112
154,120,111
155,121,112
159,125,116
163,129,119
162,130,119
161,129,118
160,128,117
160,128,117
160,128,117
161,129,118
162,130,119
163,131,120
158,126,115
156,124,113
153,121,110
150,118,107
149,116,107
148,115,106
148,115,106
149,116,107
153,116,108
155,118,109
157,120,111
159,122,113
160,123,114
159,122,113
158,121,112
156,119,110
160,123,114
161,124,115
163,127,115
162,126,114
160,124,112
159,123,111
159,123,111
160,124,112
161,125,113
162,126,114
164,128,116
166,130,118
167,131,119
165,131,119
164,130,118
164,130,118
160,128,115
158,126,113
158,126,113
158,126,113
156,127,113
154,125,111
151,122,108
150,118,107
148,114,105
148,113,107
148,114,105
151,117,108
153,119,110
154,120,111
152,118,109
150,116,106
149,115,105
151,119,108
154,122,109
155,123,110
154,122,109
154,122,109
156,124,111
158,126,113
159,126,111
155,122,107
153,120,105
155,122,107
161,128,113
163,130,115
159,125,113
154,120,108
154,120,108
155,121,109
156,122,110
157,123,111
158,124,112
159,125,113
160,126,114
160,126,114
158,126,113
159,127,112
161,128,113
164,128,114
166,128,115
168,128,116
170,128,116
171,127,116
173,127,114
172,126,113
170,126,113
171,127,114
172,128,115
171,129,115
168,126,112
163,124,109
164,127,109
166,131,112
169,134,115
170,135,116
168,133,114
165,130,111
163,128,109
163,128,109
155,120,101
157,122,103
158,123,104
156,121,102
154,119,100
153,118,99
155,120,101
158,121,103
167,128,111
167,128,111
167,128,111
167,128,111
166,127,112
166,127,112
165,126,111
165,126,111
160,120,108
163,123,111
166,126,114
168,128,116
168,128,118
169,129,119
171,131,121
173,133,123
169,131,118
168,130,117
167,129,116
167,129,116
168,130,117
168,130,117
166,128,115
164,126,113
164,126,113
155,118,110
156,119,111
156,119,111
153,119,110
153,119,110
154,120,111
156,122,113
157,124,115
159,127,116
155,122,107
154,121,104
152,119,102
153,120,105
155,122,107
157,124,109
157,124,109
156,123,108
152,118,106
153,119,107
155,121,109
157,123,111
158,124,114
159,125,115
160,126,116
160,126,116
155,123,112
155,123,112
154,122,111
154,122,111
154,122,111
155,123,112
156,124,113
156,124,113
154,122,111
155,123,112
157,125,114
158,126,115
158,126,115
157,125,114
156,124,113
155,123,112
159,125,115
158,124,114
158,124,114
157,123,113
156,122,112
155,121,111
154,120,110
154,120,110
152,118,108
157,123,113
162,128,118
162,128,118
158,124,114
156,122,112
159,125,115
163,129,119
162,130,119
160,128,115
158,126,113
157,125,112
158,126,115
161,129,118
164,132,121
166,134,123
161,128,119
158,125,116
152,119,110
147,114,105
144,111,104
142,109,102
143,110,103
143,110,101
147,110,102
149,112,104
152,115,107
155,118,110
156,119,111
155,118,110
152,115,106
151,114,105
157,121,109
159,123,111
160,124,112
160,124,112
159,123,109
159,123,109
160,124,110
162,126,112
160,124,112
161,125,113
160,126,114
161,127,115
163,129,117
164,130,118
165,131,119
164,132,119
157,125,112
155,123,110
152,123,109
153,124,110
154,125,111
155,126,112
154,125,111
154,122,111
153,119,110
154,117,111
152,117,111
152,117,111
154,119,113
153,119,110
150,117,108
148,115,106
145,113,102
148,116,105
151,119,108
151,121,110
152,123,109
152,123,109
154,125,111
158,126,113
157,124,109
156,123,106
156,123,106
157,124,107
160,127,112
160,127,112
158,125,110
156,123,108
153,119,107
154,120,108
155,121,109
157,123,111
158,124,114
159,125,115
160,126,116
160,126,114
156,124,111
158,126,113
163,129,117
169,133,121
171,133,120
172,132,120
173,131,119
172,128,117
175,129,116
173,127,114
172,126,113
171,127,114
172,129,113
171,129,113
170,128,112
166,127,110
166,129,111
170,133,115
173,136,118
174,137,119
171,134,116
167,130,112
164,127,109
163,126,108
156,119,101
157,120,102
158,121,103
156,119,101
154,117,99
153,116,98
154,117,99
155,118,100
165,126,109
166,127,110
167,128,111
167,128,111
168,129,114
168,129,114
167,128,113
167,128,113
164,124,112
167,127,115
169,129,117
170,130,118
170,130,120
170,130,120
172,132,122
173,133,123
168,130,117
169,131,118
170,132,119
169,131,118
168,130,117
167,129,116
167,129,116
168,130,117
165,127,114
153,116,108
158,121,113
157,120,112
154,120,111
155,121,112
156,122,113
159,125,116
160,127,118
162,130,119
158,124,112
156,123,108
155,122,107
155,122,107
157,124,109
158,125,110
157,124,109
156,123,108
155,121,109
156,122,110
156,122,110
157,123,111
158,124,112
159,125,113
160,126,114
161,127,115
156,124,113
156,124,113
155,123,112
154,122,111
154,122,111
154,122,111
155,123,112
155,123,112
155,123,112
156,124,113
157,125,114
158,126,115
159,127,116
159,127,116
158,126,115
158,126,115
163,129,119
162,128,118
160,126,116
157,123,113
153,119,109
150,116,106
148,114,104
147,113,103
150,116,106
157,123,113
165,131,121
166,132,122
161,127,117
158,124,114
159,125,115
162,128,118
159,127,114
158,126,113
156,124,111
156,124,111
156,124,113
158,126,115
160,128,117
162,130,119
166,133,124
163,130,121
158,125,116
152,119,110
146,113,106
142,109,102
140,107,100
139,106,99
141,104,98
144,107,99
149,112,104
152,115,107
154,117,109
154,117,109
153,116,107
151,114,105
152,116,104
154,118,106
156,120,108
158,122,110
159,123,109
161,125,111
164,128,114
167,131,117
160,124,112
160,124,112
158,124,112
159,125,113
161,127,115
162,128,116
163,131,118
164,132,119
159,127,114
157,125,112
153,124,110
153,124,110
155,126,112
156,127,113
156,127,113
157,125,114
155,121,112
155,118,112
152,117,111
152,117,111
153,118,112
153,118,112
150,117,108
148,115,106
148,116,105
148,118,107
151,121,110
154,124,113
156,127,113
158,129,115
159,130,116
160,131,117
156,125,107
159,126,109
160,127,110
160,127,110
160,127,112
159,126,111
159,126,111
159,126,111
154,120,108
155,121,109
157,123,111
159,125,113
161,127,117
161,127,117
161,127,117
160,128,117
157,125,114
157,128,114
163,131,118
166,132,120
170,134,120
171,131,119
172,130,118
172,128,117
171,125,112
170,124,111
169,123,110
170,124,111
171,128,112
174,131,115
175,132,116
173,131,115
169,130,113
171,134,116
175,138,120
175,138,120
172,135,117
167,130,112
163,126,108
161,124,106
