R,G,B
196,168,165
202,174,171
203,178,174
200,175,171
198,170,166
195,167,163
187,160,153
171,144,137
149,122,113
193,165,162
199,171,168
206,178,175
204,176,173
203,174,170
201,172,168
192,163,157
174,145,139
149,120,112
191,163,160
198,170,167
208,180,177
204,179,175
205,177,174
202,174,170
194,166,162
173,146,139
146,119,112
192,162,162
202,172,172
201,175,174
202,178,176
201,177,175
197,173,169
190,165,161
173,148,143
146,121,116
187,155,156
197,167,167
202,178,176
202,181,178
203,182,179
200,179,176
194,170,166
177,153,149
149,126,120
187,155,156
198,168,168
205,179,178
207,183,181
209,185,183
207,183,181
202,177,173
184,159,155
155,130,125
190,158,159
200,170,170
204,178,177
207,183,181
211,187,185
212,186,185
206,181,177
191,163,160
161,133,129
190,160,160
200,170,170
202,176,177
206,180,181
210,184,183
213,185,184
208,180,177
193,163,161
164,135,131
193,163,163
203,173,173
201,172,174
204,178,179
209,181,180
210,182,181
207,177,175
192,162,160
166,135,132
192,162,162
205,175,175
200,171,173
204,175,177
208,178,178
208,178,178
206,175,173
192,161,159
169,135,133
186,156,156
199,171,170
200,171,173
203,174,176
207,177,177
207,177,177
205,174,172
192,161,159
170,136,134
184,156,155
205,177,176
201,172,174
206,177,179
209,179,179
206,176,176
206,175,173
199,168,166
180,146,144
180,152,151
196,170,169
197,171,174
203,177,180
207,178,180
206,176,176
205,175,173
200,169,166
181,147,145
175,149,148
192,166,165
199,173,176
205,179,182
207,181,182
207,179,178
209,179,177
205,174,171
187,153,151
176,150,149
193,167,166
201,176,179
207,182,185
210,186,186
210,184,183
213,185,184
211,182,178
194,163,160
173,147,146
190,166,164
199,177,179
205,183,185
208,187,186
210,186,184
216,188,187
215,186,182
199,168,165
169,143,142
185,161,159
194,174,175
200,180,181
204,184,183
206,185,182
213,188,184
214,186,182
200,171,165
168,142,141
183,159,157
192,172,173
197,179,179
202,182,181
205,184,181
212,188,184
214,189,184
202,173,167
171,145,144
185,161,161
193,173,172
199,179,178
204,183,182
206,185,182
214,191,185
216,191,184
205,176,168
164,140,140
191,167,167
196,172,172
200,176,176
206,180,179
211,186,182
217,189,185
217,188,182
207,177,169
166,142,142
193,169,169
199,173,174
203,177,176
209,181,180
214,186,182
220,191,187
219,190,182
211,178,171
165,141,141
193,169,169
201,175,176
205,179,178
211,183,182
216,188,184
221,192,188
221,192,184
213,180,173
161,137,137
188,164,164
204,178,179
207,181,180
213,185,184
217,189,185
222,193,189
222,193,185
215,182,175
155,131,131
183,157,158
205,179,180
208,182,181
213,185,184
216,188,184
222,193,189
222,193,185
216,183,176
152,126,127
179,153,154
204,178,179
207,181,180
212,184,183
215,187,183
221,192,188
221,192,184
215,182,175
152,126,127
180,154,153
203,177,178
206,180,179
210,182,181
213,185,181
219,190,186
219,190,182
213,180,173
154,128,127
183,157,156
202,176,177
205,179,178
209,181,180
211,183,179
217,188,184
218,189,181
212,179,172
161,133,132
173,145,144
196,170,171
203,177,176
211,183,182
211,183,179
211,182,178
211,182,174
211,178,171
162,134,131
175,147,144
194,168,169
202,176,175
211,183,182
212,184,180
214,185,181
215,186,178
216,183,176
160,132,129
176,148,145
195,169,170
203,177,176
213,185,184
214,186,182
216,187,183
217,188,180
217,184,177
156,126,124
175,147,144
199,171,170
206,180,179
214,186,185
215,187,183
215,186,182
215,186,178
214,181,174
149,119,117
171,143,140
195,167,166
202,176,175
212,184,183
214,186,182
215,186,182
214,185,177
214,181,174
145,116,112
167,139,136
187,159,158
195,169,168
207,179,178
211,183,179
215,186,182
216,187,179
217,184,177
144,115,111
164,136,133
183,155,154
192,166,165
205,177,176
211,183,179
215,186,182
218,189,181
219,186,179
145,114,111
163,134,130
187,157,155
197,169,166
208,178,176
213,184,180
216,187,181
218,187,182
215,185,177
150,115,109
167,134,127
194,161,156
200,169,164
209,178,173
213,182,177
217,186,181
221,190,185
219,188,183
152,118,109
169,135,126
196,163,156
204,171,164
212,179,172
216,183,176
216,185,180
219,188,183
217,186,181
153,119,110
168,134,125
193,160,153
201,171,163
211,180,175
215,184,179
217,186,181
220,189,184
218,187,182
153,120,111
166,133,124
186,156,148
198,168,160
210,179,174
216,185,180
219,188,183
223,192,187
223,192,187
154,126,115
170,140,130
184,154,146
198,167,162
211,180,175
217,186,181
220,189,184
223,192,187
224,193,188
155,128,119
173,144,136
185,156,150
200,169,164
213,182,177
218,187,182
218,187,182
219,188,183
218,187,182
147,123,113
167,140,131
181,152,146
196,167,163
210,181,177
214,185,181
213,184,180
213,184,180
214,183,178
136,113,105
156,131,124
174,146,142
190,161,157
206,177,173
211,182,178
211,182,178
212,183,179
213,182,177
133,110,102
157,132,125
172,144,140
191,163,160
207,179,176
210,182,179
211,182,178
215,186,182
217,188,184
129,106,98
150,127,121
166,141,137
188,160,157
205,177,174
208,180,177
210,180,178
215,186,182
217,188,184
123,100,92
143,120,114
163,138,134
183,157,156
200,174,173
205,180,176
208,180,177
214,186,183
217,188,184
114,91,85
138,115,109
164,138,137
184,158,157
201,175,174
205,179,178
208,180,177
213,185,182
217,188,184
220,189,184
223,192,187
219,188,183
216,185,180
215,184,179
216,185,180
212,181,176
199,168,163
178,147,142
160,131,125
140,112,109
122,97,93
218,187,182
223,192,187
217,186,181
215,184,179
213,182,177
213,182,177
209,178,173
196,165,160
176,145,140
160,131,125
129,104,100
112,88,84
214,183,180
219,188,185
215,184,181
213,182,179
211,180,177
211,180,177
206,175,172
193,162,157
174,143,138
158,129,125
126,98,94
107,82,78
208,178,176
220,190,188
210,180,180
209,179,179
207,177,175
206,176,174
206,176,174
199,170,166
179,150,146
161,130,127
140,109,106
118,87,84
204,174,174
215,185,185
212,182,184
211,181,183
209,179,179
208,178,178
208,178,176
201,171,169
182,153,149
163,132,129
140,107,102
122,89,84
200,170,170
211,181,181
214,184,186
213,183,185
211,181,181
211,181,181
211,181,179
204,174,172
185,156,152
166,135,132
142,109,104
129,96,91
202,172,172
212,182,182
215,185,187
214,184,186
212,182,182
212,182,182
213,183,181
206,176,174
186,157,153
168,137,134
151,118,113
138,105,100
208,178,178
216,186,186
214,184,186
214,184,186
212,182,182
212,182,182
213,183,181
206,176,174
187,158,154
169,138,135
157,124,119
142,109,104
213,183,183
220,190,190
214,184,186
213,183,185
212,182,182
212,182,182
213,183,181
206,176,174
187,158,154
168,139,135
157,124,119
141,110,105
213,183,183
218,188,188
214,184,186
214,184,186
212,182,182
212,182,182
214,184,182
207,177,175
188,159,155
169,140,136
154,121,116
143,113,105
211,181,181
216,186,186
215,185,187
215,185,187
213,183,183
213,183,183
215,185,183
209,179,177
190,161,157
171,142,136
150,119,114
147,117,109
203,173,173
213,183,183
214,184,186
215,185,187
213,183,183
212,182,182
213,183,181
207,177,175
191,162,158
175,146,140
153,122,117
150,120,112
202,172,172
216,186,186
215,185,187
215,185,187
213,183,183
211,181,181
211,181,179
206,176,174
190,161,157
174,145,139
154,124,116
146,117,109
199,169,169
218,188,188
218,188,190
216,186,188
213,183,183
211,181,181
211,181,179
206,176,174
192,163,159
177,148,142
157,128,120
147,119,108
196,166,166
213,183,183
218,188,190
216,186,188
213,183,183
211,181,181
212,182,180
210,180,178
197,168,164
183,154,148
164,135,127
150,123,112
192,162,162
204,174,174
213,183,185
212,182,184
210,180,180
209,179,179
212,182,180
211,181,179
199,170,166
186,157,151
167,138,130
151,124,113
187,157,157
199,169,169
209,179,181
209,179,181
208,178,178
208,178,178
211,181,179
210,180,178
197,168,164
183,154,148
164,135,127
147,120,109
183,153,153
200,170,170
211,181,183
211,181,183
211,181,181
211,181,181
213,183,181
210,180,178
196,167,163
181,152,146
162,133,125
144,117,106
181,151,151
203,173,173
216,186,188
217,187,189
216,186,186
216,186,186
217,187,185
213,183,181
197,168,164
181,152,146
161,133,122
143,116,105
175,147,146
198,169,171
210,181,183
216,187,189
218,190,189
213,185,184
211,183,180
209,181,178
197,169,165
182,155,146
158,130,118
135,109,96
177,148,150
198,169,171
207,178,180
212,183,185
213,185,184
210,182,181
212,184,181
212,184,180
201,173,169
186,159,150
155,127,115
133,105,91
172,143,145
193,164,166
205,176,178
208,179,181
208,180,179
207,179,178
212,184,181
216,188,184
206,178,174
192,163,155
158,128,117
135,106,92
169,140,142
192,163,165
205,176,178
207,178,180
206,178,177
205,177,176
211,183,180
217,189,185
207,179,175
193,164,156
164,132,121
140,108,97
171,142,144
196,167,169
205,176,178
208,179,181
207,179,178
205,177,176
210,182,179
214,186,182
205,177,173
192,163,155
165,132,123
140,106,96
165,136,138
191,162,164
204,175,177
210,181,183
211,183,182
208,180,179
209,181,178
210,182,178
202,174,170
190,161,153
164,130,121
139,102,93
156,127,129
181,152,154
200,171,173
210,181,183
215,187,186
211,183,182
208,180,177
207,179,175
200,172,168
191,162,154
168,134,125
140,103,94
154,125,127
177,148,150
197,168,170
209,180,182
217,189,188
213,185,184
208,180,177
206,178,174
200,172,168
193,163,155
177,140,132
146,107,100
157,128,130
178,149,151
204,175,177
211,182,184
214,186,185
212,184,183
212,184,181
212,184,180
202,174,170
189,159,151
178,141,133
158,119,112
165,136,138
186,157,159
203,174,176
212,183,185
216,188,187
213,185,184
213,185,182
213,185,181
204,176,172
194,163,158
181,144,138
159,120,113
165,136,138
185,156,158
199,170,172
211,182,184
217,189,188
215,187,186
213,185,182
213,185,181
208,180,176
200,169,164
185,148,142
161,122,117
155,126,128
174,145,147
195,166,168
208,179,181
216,188,187
214,186,185
211,183,180
213,185,181
210,182,178
204,175,169
184,149,143
160,123,117
150,121,123
168,139,141
192,163,165
205,176,178
213,185,184
211,183,182
210,182,179
212,184,180
210,182,178
205,176,170
184,149,143
161,124,118
155,126,128
173,144,146
192,163,165
203,174,176
210,182,181
209,181,180
210,182,179
214,186,182
211,183,179
205,176,170
184,149,143
165,128,122
159,130,132
177,148,150
195,166,168
204,175,177
209,181,180
208,180,179
212,184,181
217,189,185
213,185,181
205,176,170
186,153,146
168,133,127
158,130,129
176,148,147
198,169,171
205,177,176
208,180,179
209,179,177
215,185,183
221,192,188
216,187,181
206,176,168
189,156,151
173,138,134
156,131,127
177,152,148
198,170,169
204,176,173
207,178,174
208,177,172
214,183,178
222,192,184
219,186,179
208,175,168
189,156,151
173,140,135
151,126,122
172,147,143
198,170,167
206,178,175
211,180,177
209,178,173
214,181,174
220,187,180
218,184,175
210,175,169
191,158,153
175,141,139
144,119,115
165,140,136
197,169,166
208,180,177
215,184,181
211,180,175
211,178,171
215,182,175
214,181,172
210,177,170
193,160,155
177,144,139
140,115,111
162,137,133
195,167,164
209,181,178
218,189,185
213,182,179
208,175,170
210,177,170
212,179,170
211,178,169
196,163,156
179,146,141
138,113,109
163,138,134
191,163,160
208,180,177
220,191,187
214,185,181
206,175,170
207,177,169
211,178,169
211,178,169
200,167,160
181,148,141
135,110,106
161,136,132
186,158,155
205,177,174
219,189,187
215,186,182
208,177,172
208,177,172
212,179,172
211,178,169
205,172,165
184,151,144
131,105,104
155,129,128
181,153,152
201,173,170
217,187,185
216,187,183
211,182,176
211,182,176
212,182,174
